fold,best_params,accuracy,macro_f1,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up
1,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.388,0.35126269537189075,0.34579439252336447,0.45121951219512196,0.20930232558139536,0.20454545454545456,0.51,0.4112903225806452
2,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.4112903225806452,0.2851796351796352,0.28,0.08860759493670886,0.4,0.0967741935483871,0.42788461538461536,0.8317757009345794
3,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.375,0.35533002985833173,0.40816326530612246,0.425531914893617,0.23214285714285715,0.26,0.425531914893617,0.38461538461538464
4,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.35918367346938773,0.32355271028339555,0.34355828220858897,0.7567567567567568,0.41379310344827586,0.1518987341772152,0.37735849056603776,0.21739130434782608
