fold,best_params,accuracy,macro_f1,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up
1,"{'class_weight': 'balanced_subsample', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.324,0.28778146917681796,0.2786885245901639,0.4146341463414634,0.14285714285714285,0.13636363636363635,0.47674418604651164,0.33064516129032256
2,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 400}",0.39919354838709675,0.28905198080825323,0.3076923076923077,0.10126582278481013,0.3684210526315789,0.11290322580645161,0.41379310344827586,0.7850467289719626
3,"{'class_weight': 'balanced_subsample', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.38306451612903225,0.3535715749208504,0.4230769230769231,0.35106382978723405,0.24444444444444444,0.22,0.408,0.49038461538461536
4,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.3224489795918367,0.22169217305927302,0.31336405529953915,0.918918918918919,0.2,0.012658227848101266,0.43478260869565216,0.10869565217391304
