fold,accuracy,macro_f1,sharpe,cagr,max_drawdown,n_trades
Fold 1,0.488,0.2618906148317913,-0.25887450325586775,-0.12331143497411212,-0.45396737905380435,3
Fold 2,0.4314516129032258,0.20093896713615023,1.461186862013973,0.24158240799466535,-0.10081974577838743,1
Fold 3,0.3548387096774194,0.261528114070487,-1.3173569897063608,-0.2146650891968428,-0.21572818520263826,9
Fold 4,0.37551020408163266,0.18199802176063304,1.905982610811833,0.19965515893143415,-0.07061546217241321,1
