Date,Close,High,Low,Open,Volume,Return,Volatility_10,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Middle,BB_Width,ATR_14,Momentum_10
2015-03-17,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,0.010442238346779709,0.009786080698764205,8780.560058593752,8799.122412109375,8669.166972656249,8741.308137488817,8751.513485103082,8669.16697265625,48.329561071413764,9.512065123868524,41.77946492088096,9009.020945560766,8589.223878657984,8799.122412109375,0.047708969967852254,119.19470544002448,-233.4501953125
2015-03-18,8685.900390625,8747.25,8664.0,8742.900390625,156400,-0.004287301239194297,0.00947598680151423,8749.52509765625,8792.949951171875,8674.9759765625,8731.234001695395,8745.264618962312,8669.823185125613,46.305228731415234,3.7760640205269738,34.178784740810165,9008.759452081484,8577.140450262266,8792.949951171875,0.04908693944763027,116.62722648002273,-310.349609375
2015-03-19,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,-0.00590036699653107,0.009376760895272009,8720.72509765625,8781.227490234374,8680.1009765625,8713.67334513714,8734.729930549234,8668.443859851079,43.60957226901105,-4.8493050948600285,26.37316677367613,9004.945793774581,8557.509186694168,8781.227490234374,0.05095376558436835,120.69312492341396,-288.0
2015-03-20,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,-0.0073830435647072035,0.009285530054882328,8684.04013671875,8765.00751953125,8688.971982421874,8687.714626134932,8719.127117223117,8664.618625763782,40.454749074764756,-16.637280269651455,17.771077365010612,9000.625485861228,8529.38955320127,8765.00751953125,0.05376332326126283,117.90435818781296,-366.849609375
2015-03-23,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,-0.002333477124745964,0.00736130548774887,8663.455175781251,8750.872558593748,8697.947988281248,8662.839310587671,8703.105524213774,8660.159087130889,39.48956523827663,-27.278716315204292,8.761118628967631,9002.5370048702,8499.208112317296,8750.872558593748,0.05751756629784461,114.32546150921918,-205.849609375
2015-03-24,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,-0.000929749494125387,0.007306000066354388,8646.54521484375,8740.27255859375,8704.114999999998,8641.041289628549,8687.852635746985,8655.562660000756,39.09031772956104,-35.939358810979684,-0.17897685902183103,9008.52581726803,8472.01929991947,8740.27255859375,0.06138327080212705,112.72367073177496,-169.099609375
2015-03-25,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,-0.0014222710360253243,0.007305730448104114,8629.63017578125,8728.707568359374,8709.04099609375,8620.99738327563,8672.89522326513,8650.66999900808,38.45049607379637,-43.28445906338311,-8.800073299894088,9012.492711604027,8444.92242511472,8728.707568359374,0.06502340490208283,108.75770820182674,-169.150390625
2015-03-26,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,-0.022113918786236364,0.008680820706473729,8586.24521484375,8707.452587890624,8709.42400390625,8570.297930066423,8641.395715394641,8638.571190836195,30.18855692546369,-63.59485315713573,-19.759029271342417,9038.779103415558,8376.12607236569,8707.452587890624,0.07610182477150815,115.6643144240177,-433.849609375
2015-03-27,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,-8.990487642646094e-05,0.008092993217898673,8555.61025390625,8690.330126953124,8710.264003906252,8528.680195622528,8612.824732083247,8626.917433965169,30.16081008527479,-78.84265647096254,-31.57575471126644,9059.97163796048,8320.688615945768,8690.330126953124,0.085069613146435,117.69184944283788,-306.349609375
2015-03-30,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,0.018090417315550278,0.010624949210087435,8541.5251953125,8672.71513671875,8714.559003906252,8522.065579088885,8601.346167569367,8621.638311248398,41.75946235428195,-77.85288921076062,-40.83118161116528,9044.970481834616,8300.459791602885,8672.71513671875,0.08584516826565694,120.06381834424232,-140.8505859375
